Indianapolis Passing,,,,,,,,
,C/ATT,YDS,AVG,TD,INT,SACKS,QBR,RTG
Andrew Luck,38/59,365,6.2,3,2,1-10,60.0,84.4
TEAM,38/59,355,6.2,3,2,1-10,--,84.4
New England Passing,,,,,,,,
,C/ATT,YDS,AVG,TD,INT,SACKS,QBR,RTG
Tom Brady,34/44,341,7.8,3,2,0-0,79.4,102.5
TEAM,34/44,341,7.8,3,2,0-0,--,102.5
Indianapolis Rushing,,,,,,,,
,CAR,YDS,AVG,TD,LONG,,,
Nyheim Hines,15,45,3.0,0,9,,,
Jordan Wilkins,6,39,6.5,0,16,,,
TEAM,21,84,4.0,0,16,,,
New England Rushing,,,,,,,,
,CAR,YDS,AVG,TD,LONG,,,
Sony Michel,18,98,5.4,1,34,,,
James White,2,0,0.0,0,0,,,
Tom Brady,3,-1,-0.3,1,1,,,
TEAM,23,97,4.2,2,34,,,
Indianapolis Receiving,,,,,,,,
,REC,YDS,AVG,TD,LONG,TGTS,,
Eric Ebron,9,105,11.7,2,28,15,,
Chester Rogers,8,66,8.3,0,24,11,,
Ryan Grant,6,58,9.7,0,19,9,,
Nyheim Hines,7,45,6.4,0,21,9,,
Erik Swoope,3,44,14.7,1,26,3,,
Marcus Johnson,2,26,13.0,0,17,2,,
Zach Pascal,1,12,12.0,0,12,7,,
Jordan Wilkins,2,9,4.5,0,5,2,,
Robert Turbin,0,0,0.0,0,0,1,,
TEAM,38,365,9.6,3,28,59,,
New England Receiving,,,,,,,,
,REC,YDS,AVG,TD,LONG,TGTS,,
James White,10,77,7.7,1,18,14,,
Rob Gronkowski,6,75,12.5,0,19,7,,
Julian Edelman,7,57,8.1,0,13,9,,
Josh Gordon,2,50,25.0,1,34,4,,
Chris Hogan,3,34,11.3,0,21,4,,
Phillip Dorsett,3,25,8.3,0,16,3,,
Sony Michel,1,12,12.0,0,12,1,,
Cordarrelle Patterson,2,11,5.5,1,10,2,,
TEAM,34,341,10.0,3,34,44,,